player_id,nome,eta,genere,paese,città,mestiere,istruzione,soddisfazione,classe_personaggio,livello,salute_media,attacco_medio,destrezza,oggetti_usati,numero_battaglie,numero_vittorie,numero_sconfitte,tempo_totale_giocato,crediti_attuali,spesa_mensile,numero_acquisti,tipo_acquisti,abbonamento_attivo,rimborso_totale,giorni_attivi,sessioni_giornaliere_medie,durata_media_sessione,ora_punta_login,giorno_settimana_attivo,pausa_media_tra_sessioni,tipo_dispositivo,versione_app,numero_crash,latency_media,bug_rilevati,cluster_comportamentale,canale_acquisizione,campagne_risposta,profilo_social_integrato
1,Zoe,34.0,M,Angola,New Michaelbury,Exercise physiologist,Superiore,1,Ladro,31,42.0,12.0,6,Pozione,363,164,260,12645,,19.0,49,Bomba,1,2,331,3.7,100,0,Mar,35.0,Mobile,1.0,5,81,3,Casual,Referral,4,0
2,Debra,51.0,F,Brunei Darussalam,North Paulland,Ceramics designer,Università,9,Mago,41,89.0,44.0,2,"Pozione,Pozione",446,391,289,12878,36.0,0.0,23,Medaglione,0,773,349,2.4,154,9,Mar,10.5,Tablet,2.0,7,60,4,Casual,Organic,0,0
3,Vincent,58.0,F,Tajikistan,West Vanessafurt,Clothing/textile technologist,Università,3,Guerriero,46,48.0,23.0,4,"Pozione,Medaglione",81,3,477,2224,2445.0,4.0,77,"Pozione,Bomba",0,603,280,2.8,14,7,Mar,66.7,Mobile,2.0,4,132,7,Casual,Referral,12,1
4,Kenneth,46.0,F,Netherlands Antilles,Davidville,Fish farm manager,Superiore,6,Ladro,74,,45.0,1,Pozione,291,159,212,350,4850.0,10.0,84,"Scudo,Medaglione",0,333,39,2.0,142,3,Gio,17.3,Mobile,2.0,8,120,1,Casual,Pubblicità,7,0
5,Juan,23.0,,Cayman Islands,Elliottport,"Administrator, local government",Superiore,3,Guerriero,40,96.0,8.0,14,Medaglione,395,280,241,8275,2099.0,9.0,29,"Medaglione,Pozione",0,292,59,5.0,31,12,Lun,23.7,Mobile,1.0,5,199,1,Spender,Pubblicità,13,0
6,Pamela,25.0,F,Lithuania,Port Mitchell,Medical laboratory scientific officer,Post-Laurea,1,Guerriero,6,47.0,9.0,11,"Spada,Scudo",183,472,127,1810,390.0,20.0,53,Medaglione,1,851,141,3.2,161,10,Dom,41.2,PC,1.2,1,156,8,Hardcore,Organic,17,0
7,Michele,64.0,M,Oman,Port Christinafort,Haematologist,Superiore,3,Guerriero,64,20.0,13.0,9,Spada,366,18,421,17898,1176.0,84.0,78,"Medaglione,Bomba,Medaglione",1,725,95,2.9,116,9,Sab,52.7,PC,2.0,9,81,0,Casual,Pubblicità,12,1
8,Roy,51.0,M,Solomon Islands,Diamondville,Advertising account executive,Università,1,Mago,70,59.0,25.0,10,Bomba,267,415,269,18975,2320.0,1.0,30,"Scudo,Scudo,Pozione",0,956,80,1.7,87,14,Sab,7.0,PC,1.0,8,272,3,Casual,Organic,6,0
9,Patty,35.0,F,Oman,Smithberg,Mechanical engineer,Superiore,10,Ladro,22,69.0,43.0,19,"Pozione,Bomba",397,54,409,16644,399.0,7.0,95,Medaglione,0,232,65,4.3,156,8,Dom,22.9,Mobile,2.0,7,266,1,Casual,Pubblicità,12,0
10,Kevin,38.0,M,Faroe Islands,Robertland,Dance movement psychotherapist,Superiore,2,Guerriero,61,90.0,11.0,12,Medaglione,50,239,119,2599,2395.0,9.0,97,"Spada,Pozione",1,8,178,3.1,10,12,Lun,40.3,Tablet,2.0,0,256,6,Casual,Pubblicità,18,1
11,Tanya,29.0,F,Bolivia,Smithfurt,General practice doctor,Scuola Media,5,Mago,68,62.0,16.0,11,Medaglione,97,257,225,16330,4181.0,15.0,46,"Bomba,Pozione,Bomba",0,880,323,3.7,116,4,Mer,54.5,Tablet,1.1,9,87,0,Hardcore,Pubblicità,17,1
12,Theresa,30.0,M,Guernsey,Berrychester,"Administrator, sports",Università,6,Guerriero,12,86.0,35.0,19,"Bomba,Spada",386,120,50,329,3559.0,1.0,12,"Medaglione,Medaglione",0,121,319,2.4,52,11,Mar,58.3,Mobile,2.0,1,122,9,Casual,Pubblicità,15,0
13,Carol,44.0,F,Swaziland,Briannaton,Seismic interpreter,Superiore,7,Mago,89,,,20,"Bomba,Spada",460,118,242,7523,1984.0,53.0,89,"Scudo,Scudo",0,672,150,3.4,33,8,Lun,23.1,Mobile,2.0,2,40,3,Casual,Pubblicità,8,0
14,Stephanie,26.0,F,Algeria,North Lynn,Horticultural therapist,,5,Guerriero,65,41.0,39.0,7,"Pozione,Scudo,Medaglione",96,443,166,6176,3789.0,2.0,48,"Medaglione,Spada,Scudo",0,990,270,1.8,128,11,Gio,5.4,Mobile,2.0,5,33,4,Hardcore,Pubblicità,2,0
15,Danielle,31.0,F,Swaziland,Davisstad,Facilities manager,Superiore,10,Mago,53,,31.0,4,"Medaglione,Bomba",351,410,64,11686,,7.0,61,"Pozione,Pozione,Medaglione",0,69,362,1.9,160,9,Dom,65.8,Mobile,1.1,4,135,8,Hardcore,Organic,11,1
16,Lori,39.0,F,American Samoa,North Amymouth,"Engineer, maintenance",Superiore,8,Guerriero,82,26.0,5.0,17,"Bomba,Bomba,Scudo",121,53,458,6496,2515.0,4.0,71,Bomba,0,588,80,3.1,102,9,Lun,46.3,PC,1.0,4,173,8,Spender,Referral,10,0
17,Clayton,34.0,M,Lao People's Democratic Republic,Hodgesstad,Software engineer,Università,10,Mago,82,44.0,32.0,5,Scudo,215,151,450,17500,106.0,5.0,18,"Bomba,Bomba,Spada",0,703,305,3.9,119,1,Mar,59.2,Tablet,1.0,6,47,0,Hardcore,Organic,15,0
18,Sean,40.0,F,Guinea,Carlaview,Communications engineer,Scuola Media,7,Mago,4,54.0,46.0,1,"Scudo,Spada,Pozione",449,355,156,16287,304.0,0.0,61,"Medaglione,Medaglione,Scudo",1,351,143,3.0,42,13,Sab,64.9,PC,1.2,6,148,4,Casual,Pubblicità,14,0
19,James,,M,China,New Tom,Occupational hygienist,Università,6,Ladro,56,86.0,47.0,8,"Medaglione,Scudo",239,107,35,3637,3271.0,4.0,46,Pozione,0,234,354,2.4,38,9,Mar,61.2,PC,2.0,9,197,5,Hardcore,Organic,3,1
20,Pam,40.0,M,Spain,Copelandberg,Writer,Superiore,3,Guerriero,93,83.0,50.0,19,"Medaglione,Bomba",435,286,448,9929,,4.0,14,"Bomba,Medaglione",0,302,59,4.5,159,1,Mar,48.7,PC,1.1,5,49,4,Hardcore,Organic,18,1
21,Kimberly,32.0,F,Saint Barthelemy,West Mitchell,Charity fundraiser,Università,9,Ladro,21,,33.0,5,Spada,471,0,277,13411,1688.0,6.0,71,"Bomba,Pozione",0,245,173,1.2,120,14,Gio,36.8,PC,1.1,3,96,0,Casual,Organic,1,0
22,David,41.0,F,Guadeloupe,Masonstad,Museum/gallery exhibitions officer,Superiore,2,Guerriero,87,96.0,6.0,17,Pozione,293,174,347,1245,3712.0,9.0,81,Pozione,0,75,54,0.6,119,15,Mar,47.7,PC,2.0,8,53,1,Hardcore,Pubblicità,17,0
23,Robert,62.0,F,Burundi,South Amberfort,Statistician,Superiore,8,Mago,41,29.0,45.0,6,"Bomba,Bomba,Spada",455,387,428,14867,2153.0,4.0,83,"Medaglione,Bomba,Scudo",0,805,36,1.2,19,6,Ven,52.7,PC,1.2,7,32,7,Casual,Referral,14,0
