player_id,nome,eta,genere,paese,città,mestiere,istruzione,soddisfazione,classe_personaggio,livello,salute_media,attacco_medio,destrezza,oggetti_usati,numero_battaglie,numero_vittorie,numero_sconfitte,tempo_totale_giocato,crediti_attuali,spesa_mensile,numero_acquisti,tipo_acquisti,abbonamento_attivo,rimborso_totale,giorni_attivi,sessioni_giornaliere_medie,durata_media_sessione,ora_punta_login,giorno_settimana_attivo,pausa_media_tra_sessioni,tipo_dispositivo,versione_app,numero_crash,latency_media,bug_rilevati,cluster_comportamentale,canale_acquisizione,campagne_risposta,profilo_social_integrato
1,Colleen,69.0,F,Tuvalu,Robertview,Air cabin crew,Università,5,Guerriero,91,52.0,20.0,17,"Bomba,Bomba",116,244,428,17632,1074.0,19.0,90,"Medaglione,Medaglione,Spada",0,102,218,4.1,12,17,Gio,23.9,PC,1.2,7,86,1,Casual,Pubblicità,10,0
2,Dana,55.0,M,Saint Pierre and Miquelon,Jacksonland,Historic buildings inspector/conservation officer,Università,5,Guerriero,100,99.0,26.0,15,Spada,440,450,315,18183,3431.0,9.0,57,Spada,1,138,224,4.2,129,19,Gio,65.0,Mobile,1.2,0,264,7,Casual,Organic,11,0
3,Laura,35.0,F,Taiwan,Tonyfurt,Medical illustrator,Superiore,6,Guerriero,88,49.0,32.0,20,"Medaglione,Bomba",352,67,474,9990,2119.0,,43,"Medaglione,Medaglione,Bomba",0,721,334,3.2,72,10,Dom,29.1,Mobile,1.2,1,188,9,Casual,Pubblicità,19,0
4,Jimmy,17.0,F,Myanmar,Meyerfurt,"Restaurant manager, fast food",Università,1,Guerriero,18,40.0,38.0,12,"Medaglione,Pozione,Spada",182,130,273,17199,4345.0,43.0,0,Pozione,0,724,261,4.8,86,3,Sab,15.8,Mobile,1.2,0,242,0,Hardcore,Pubblicità,13,1
5,Tammy,65.0,M,Djibouti,New Sara,Horticultural consultant,Università,10,Mago,88,47.0,13.0,2,"Pozione,Bomba",278,76,286,10087,4720.0,49.0,55,Bomba,0,344,120,4.2,35,19,Gio,10.9,Mobile,1.1,7,221,9,Casual,Organic,7,0
6,Elizabeth,44.0,M,British Virgin Islands,South Danielletown,Geoscientist,Università,1,Mago,36,69.0,45.0,7,Scudo,105,128,432,17103,14.0,17.0,22,Bomba,1,20,60,1.2,151,18,Mer,8.1,Mobile,1.2,3,227,9,Casual,Referral,2,0
7,Steven,44.0,M,American Samoa,Mullinsport,Insurance claims handler,Università,2,Mago,40,43.0,12.0,4,"Scudo,Medaglione",54,104,438,435,2434.0,23.0,72,"Medaglione,Pozione",0,711,234,4.8,160,6,Mar,31.2,Mobile,2.0,2,184,0,Casual,Referral,11,0
8,Joseph,39.0,M,Mauritius,Garcialand,"Surveyor, planning and development",Superiore,1,Mago,14,96.0,11.0,11,Spada,368,273,246,627,4584.0,2.0,33,"Scudo,Medaglione,Medaglione",0,924,212,0.7,140,3,Mar,70.9,PC,1.2,2,212,9,Casual,Pubblicità,13,0
9,Paul,35.0,M,Bermuda,Jaymouth,"Engineer, technical sales",Superiore,7,Mago,55,83.0,46.0,17,"Spada,Spada",8,500,83,3577,3627.0,1.0,84,"Pozione,Scudo",0,76,150,0.5,106,9,Mer,45.6,PC,2.0,7,205,3,Casual,Referral,18,0
10,Carlos,43.0,F,New Caledonia,Port Heather,Conference centre manager,Università,5,Ladro,27,38.0,12.0,19,"Bomba,Medaglione,Bomba",307,213,93,15497,2418.0,10.0,91,Bomba,1,877,325,0.7,159,12,Dom,9.4,Mobile,1.1,6,120,5,Casual,Referral,10,0
11,Megan,54.0,F,Panama,North Emilyfort,"Engineer, production",Scuola Media,2,Guerriero,26,35.0,25.0,1,"Bomba,Scudo,Medaglione",32,285,270,19838,3625.0,8.0,81,"Scudo,Spada,Spada",0,155,298,1.7,111,22,Mar,51.0,Mobile,1.2,5,62,4,Hardcore,Organic,4,1
12,Ashley,40.0,F,Senegal,New Joshuafurt,Museum/gallery curator,Superiore,3,Guerriero,20,49.0,30.0,7,"Spada,Spada,Pozione",31,335,205,7651,,12.0,40,"Bomba,Bomba,Scudo",0,794,328,2.7,41,12,Dom,64.9,Mobile,1.0,9,195,0,Casual,Pubblicità,13,0
13,Kathy,30.0,M,Philippines,West Timothyport,Animal technologist,Università,7,Guerriero,36,33.0,15.0,5,"Scudo,Pozione",326,409,499,15052,2573.0,11.0,96,"Spada,Scudo",0,76,174,0.7,118,10,Dom,14.9,PC,1.1,9,277,4,Hardcore,Organic,11,1
